"id" "total.count" "rat.count" "ckr.count" "xc" "yc" "market.dist" "sewer.dist" "catfeeding.dist"
658 16 8 8 446000 4472500 293.027027027027 51.9189189189189 58.4324324324324
662 5 4 1 434500 4472250 182.134146341463 178.378048780488 82.2926829268293
676 10 6 4 439500 4472250 102.69014084507 113.408450704225 177.957746478873
686 7 6 1 444250 4472250 322.305084745763 57.8305084745763 94.6949152542373
711 7 4 3 440750 4472000 281.392857142857 82.7857142857143 58.8571428571429
752 5 2 3 435500 4471500 130.633333333333 260.383333333333 143.6
791 17 11 6 440750 4471250 175.909090909091 57.7575757575758 124.712121212121
816 21 4 17 439500 4471000 208.095238095238 47.6190476190476 76.0476190476191
847 36 13 23 440750 4470750 329.349206349206 70 123.095238095238
878 16 13 3 441000 4470500 636.833333333333 50.1666666666667 128.75
900 26 23 3 434500 4470250 227.392857142857 386.910714285714 86.5
906 10 7 3 437000 4470250 343.942857142857 92.3428571428571 283.614285714286
936 10 4 6 443750 4470000 103.635458167331 72.0597609561753 98.1752988047809
953 7 5 2 441500 4469750 119.764705882353 63.0980392156863 130.980392156863
1013 22 10 12 441000 4468000 166.84 31.8 55.68
1020 8 1 7 440750 4467500 294.513513513513 53.4864864864865 50.4864864864865
1053 5 4 1 441750 4466000 421.626666666667 47.4933333333333 53.3066666666667
1055 2 1 1 434000 4487500 7058.24137931035 1764.12643678161 1764.12643678161
1063 2 1 1 440500 4484000 1108 121.666666666667 121.666666666667
1069 1 1 0 439750 4483250 502.285714285714 871.285714285714 866.357142857143
1086 4 4 0 443750 4482500 316.409090909091 174.590909090909 45.6818181818182
1089 2 2 0 439500 4482250 633.285714285714 431.142857142857 441.142857142857
1099 3 3 0 438750 4482000 230.125 269.75 334.125
1112 3 3 0 438750 4481750 263.48275862069 184.758620689655 197.862068965517
1116 1 1 0 440750 4481750 664.666666666667 107.333333333333 425.333333333333
1123 3 1 2 440750 4481500 703.285714285714 173.071428571429 112.928571428571
1126 1 0 1 443500 4481500 661.764705882353 126.294117647059 412.882352941176
1157 2 0 2 438750 4480750 611.444444444444 85.7777777777778 106.888888888889
1159 1 0 1 439250 4480750 423 305.8 311.9
1165 1 1 0 450500 4480750 414.571428571429 64.2857142857143 229.714285714286
1169 2 2 0 430750 4480500 419.6875 544.25 1642.8125
1185 1 1 0 438500 4480250 118.372093023256 236.883720930233 78.7209302325581
1190 2 0 2 441250 4480250 282.130434782609 74.8260869565217 247.608695652174
1206 3 1 2 439000 4480000 155.823529411765 162.147058823529 237.735294117647
1209 1 1 0 440000 4480000 852.756756756757 142.837837837838 133.459459459459
1259 1 0 1 433500 4479250 211.175 209.3875 331.5375
